NetworkScore,Age,Tenure,MonthlyCharge,NumOfProducts,HasInternetService,IsActiveMember,EstimatedMonthlyUsage,Exited,region_East,region_North,region_South,region_West,gender_Female,gender_Male,gender_Other
0.2424,0.1538,0.55,0.6345,0,0,1,0.4982,1,0,0,1,0,1,0,0
0.6768,0.8077,0.85,0.0316,0.6667,1,1,0.4816,0,0,1,0,0,1,0,0
0.3333,0.1923,0.35,0.6169,0.3333,0,0,0.4545,0,0,1,0,0,0,1,0
0.1212,0.9038,0.1,0.2459,0.6667,0,1,0.1627,0,0,0,1,0,0,1,0
0.4949,0.8077,0.8,0.118,0.6667,1,1,0.8916,1,1,0,0,0,1,0,0
0.1717,0.8654,0.25,0.4419,1,0,0,0.9446,0,0,1,0,0,1,0,0
0.4747,0.2115,0.75,0.1494,0,1,0,0.8306,1,0,0,1,0,1,0,0
0.9798,0.8077,1,0.9623,0,1,1,0.254,0,0,0,1,0,0,1,0
0.6364,0.6731,0.2,0.6968,1,1,1,0.4515,0,0,0,1,0,0,0,1
0.0505,0.3462,0.5,0.9632,0.3333,1,1,0.8473,1,0,1,0,0,0,1,0
0.8182,0.0385,0.85,0.998,0.6667,0,1,0.4982,1,0,0,0,1,0,0,1
0.1919,0.4808,0.45,0.3299,0.6667,1,1,0.0939,1,1,0,0,0,1,0,0
0.7879,0.6538,0.15,0.7941,1,0,1,0.2871,0,0,0,1,0,1,0,0
0.1818,0.1538,0.35,0.7756,0.3333,0,0,0.7856,1,0,1,0,0,0,0,1
0.6263,0.5769,0.3,0.1007,0,0,1,0.205,0,1,0,0,0,0,1,0
0.404,0.6923,0.15,0.782,0.3333,1,1,0.0948,0,0,0,1,0,0,1,0
0.6566,0.8462,0.85,0.8263,1,0,1,0.8919,0,0,1,0,0,0,0,1
0.6667,0.8077,0.65,0.4533,0,0,0,0.5104,0,1,0,0,0,1,0,0
0.8384,0.1538,0.7,0.5144,1,1,1,0.4982,1,0,0,0,1,0,0,1
0.5152,0.6154,0.1,0.303,1,1,1,0.628,0,1,0,0,0,0,1,0
0.4444,0.75,0.6,0.6924,0,0,0,0.3183,0,0,0,1,0,1,0,0
0.8485,0.2308,0.45,0.4274,0,1,1,0.5749,1,1,0,0,0,1,0,0
